        2	3	4	5	6	7	8	9	10	1
4	H	H	H	H	H	H	H	H	H	RH
5	H	H	H	H	H	H	H	H	H	RH
6	H	H	H	H	H	H	H	H	H	RH
7	H	H	H	H	H	H	H	H	H	RH
8	H	H	H	D	D	H	H	H	H	RH
9	D	D	D	D	D	H	H	H	H	H
10	D	D	D	D	D	D	D	D	H	H
11	D	D	D	D	D	D	D	D	H	H
12	H	H	S	S	S	H	H	H	H	RH
13	S	S	S	S	S	H	H	H	H	RH
14	S	S	S	S	S	H	H	H	H	RH
15	S	S	S	S	S	H	H	H	H	RH
16	S	S	S	S	S	H	H	H	H	RH
17	S	S	S	S	S	S	S	S	S	RS
18	S	S	S	S	S	S	S	S	S	S
19	S	S	S	S	S	S	S	S	S	S
20	S	S	S	S	S	S	S	S	S	S
21	S	S	S	S	S	S	S	S	S	S
